Tipo,DiametroP,DiametroR,Lunghezza,SpessoreP,SpessoreR,ImagePath
"DN20>DN15",26.7,21.3,38,2.87,2.77,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN20>DN10",26.7,17.3,38,2.87,2.31,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN25>DN20",33.4,26.7,51,3.38,2.87,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN25>DN15",33.4,21.3,51,3.38,2.77,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN32>DN25",42.2,33.4,51,3.56,3.38,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN32>DN20",42.2,26.7,51,3.56,2.87,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN32>DN15",42.2,21.3,51,3.56,2.77,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN40>DN32",48.3,42.2,64,3.68,3.56,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN40>DN25",48.3,33.4,64,3.68,3.38,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN40>DN20",48.3,26.7,64,3.68,2.87,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN40>DN15",48.3,21.3,64,3.68,2.77,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN50>DN40",60.3,48.3,76,3.91,3.68,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN50>DN32",60.3,42.2,76,3.91,3.38,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN50>DN25",60.3,33.4,76,3.91,3.38,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN50>DN20",60.3,26.7,76,3.91,2.87,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN50>DN15",60.3,21.3,76,3.91,2.77,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN65>DN50",73,60.3,89,5.16,3.91,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN65>DN40",73,48.3,89,5.16,3.68,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
"DN65>DN32",73,42.2,89,5.16,3.56,"C:/_FreeCAD/Macro/RiduzioneConcentrica.png"
